location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Liechtenstein,Europe,62485.251,235.99099999999999,1284.8410000000001,0.0,0.73,36.2915,183.884,598.736,0.067,0.12,0.12,0.595,48.61,38137.0,237.012,53765.3925,82.49,0.919,24.0
Lithuania,Europe,62151.328,452.56,888.59,12.489,0.78,62.04050000000001,748.6339999999999,663.807,0.12,1.88,1.88,0.34,74.07,2722291.0,45.135,29524.265,75.93,0.882,34.39
Luxembourg,Europe,77686.68400000001,190.10299999999998,877.03,4.793,0.9,31.95,140.58,2828.164,0.018000000000000002,0.9199999999999999,0.9199999999999999,0.21,51.85,625976.0,231.447,94277.965,82.25,0.9159999999999999,15.2
Madagascar,Africa,650.066,0.0,9.642000000000001,0.0,0.64,47.9835,258.8655,3.804,0.10400000000000001,0.049999999999999996,0.56,0.05500000000000001,37.04,27691019.0,43.951,1416.44,67.04,0.528,78.915
Malawi,Africa,616.05,29.116999999999997,15.682,0.732,1.77,47.9835,354.20449999999994,5.1370000000000005,0.28300000000000003,0.049999999999999996,0.049999999999999996,0.04,48.15,19129955.0,197.519,1095.042,64.26,0.483,35.22
Malaysia,Asia,4791.912,102.23700000000001,18.352999999999998,0.278,1.17,28.20825,266.7865,166.27599999999998,0.040999999999999995,0.12,0.6625000000000001,0.1,77.31,32365998.0,96.25399999999999,26808.164,76.16,0.81,7.61
Maldives,Asia,26688.028,98.05,90.65,0.0,1.31,36.2915,183.884,660.8395,0.019,4.5024999999999995,3.7175000000000002,0.9849999999999999,66.2,540542.0,1454.433,15183.616000000002,78.92,0.74,15.86
Mali,Africa,386.305,1.136,15.209000000000001,0.049,0.76,47.9835,135.3005,37.0075,0.164,0.56,0.56,0.05500000000000001,46.3,20250834.0,15.196,2014.306,59.31,0.434,22.68
Malta,Europe,34984.452000000005,371.42800000000005,539.024,2.265,1.04,36.2915,131.442,1283.807,0.053,4.545,4.375,0.57,52.78,441539.0,1454.037,36513.323,82.53,0.895,4.41
Marshall Islands,Oceania,67.574,0.0,119.8205,0.0,0.505,35.682,98.129,1156.5347499999998,0.0865,6.359999999999999,6.359999999999999,0.39,33.335,59194.0,295.15,3819.202,73.7,0.7040000000000001,2.485
Mauritania,Africa,3440.897,14.195,86.243,0.43,0.69,44.022499999999994,588.7974999999999,36.685,0.24025,0.47,0.47,0.06,50.93,4649660.0,4.289,3597.633,64.92,0.546,4.325
Mauritius,Africa,430.11,0.0,7.8629999999999995,0.0,0.21,36.2915,259.64799999999997,296.88950000000006,0.0715,0.0,0.0,0.22999999999999998,19.44,1271767.0,622.962,20292.745,74.99,0.804,5.83
Mexico,North America,12644.25,111.647,1087.7069999999999,8.578,1.08,50.0015,394.81950000000006,30.99,0.41,0.375,0.37,0.02,71.76,128932753.0,66.444,17336.468999999997,75.05,0.779,142.26
Micronesia (country),Oceania,8.693999999999999,0.0,13.457,0.0,0.545,35.682,98.129,1156.5347499999998,0.0865,11.065,11.085,0.375,42.13,115021.0,150.77700000000002,3299.4640000000004,67.88,0.62,16.925
Moldova,Europe,37838.721,109.074,804.42,3.966,0.91,21.776999999999997,385.6095,298.3215,0.08800000000000001,0.875,0.495,0.46499999999999997,57.41,4033963.0,123.655,5189.972,71.9,0.75,3.72
